Date,P (cm),T (degC),ObvQ (cms)
10/21/2013,0.132,18.47083333,49.02893519
10/22/2013,0,18.74166667,42.57986111
10/23/2013,0.063,17.77916667,43.59027778
10/24/2013,0.833,16.2125,48.82986111
10/25/2013,0.004,15.43333333,45.42939815
10/26/2013,0,16.09166667,37.18055556
10/27/2013,0.004,17.55416667,34.34953704
10/28/2013,0.008,18.97083333,34.51041667
10/29/2013,0.004,20.1875,31.05902778
10/30/2013,0.044,21.09583333,29.90972222
10/31/2013,0.07,21.8125,28.8599537
11/1/2013,0.604,23.1875,31.65972222
11/2/2013,0.13,21.75416667,30.75
11/3/2013,0.729,20.92916667,28.15972222
11/4/2013,0.364,19.94583333,30.51041667
11/5/2013,0.122,22.67916667,32.93055556
11/6/2013,0.028,21.22916667,29.6099537
11/7/2013,0.088,22.325,28
11/8/2013,0,23.18333333,25.68055556
11/9/2013,0,23.40833333,24.34027778
11/10/2013,0,23.72916667,24.21990741
11/11/2013,0.194,21.0625,22.98958333
11/12/2013,0.024,20.94166667,22.51041667
11/13/2013,0.1,19.88333333,21.54976852
11/14/2013,0.036,21.15416667,26.27893519
11/15/2013,0.044,18.41666667,20.45023148
11/16/2013,0.008,17.06666667,19.03009259
11/17/2013,0,15.11666667,19.57986111
11/18/2013,0,13.07083333,15.89930556
11/19/2013,0,14.3,17.62962963
11/20/2013,0,16.3125,16.81944444
11/21/2013,0,18.32083333,16.79976852
11/22/2013,0.038,19.05,15.6099537
11/23/2013,0,20.775,15.68055556
11/24/2013,0.219,19.45833333,15.31018519
11/25/2013,2.264,14.40434783,26.29976852
11/26/2013,0,16.10909091,19.13888889
11/27/2013,0.059,15.06666667,17.15046296
11/28/2013,0.578,9.691666667,18.59027778
11/29/2013,0.01,9.175,14.65972222
11/30/2013,0,12.75833333,15.62962963
12/1/2013,0,13.64166667,14.98263889
12/2/2013,0,14.58333333,14.87962963
12/3/2013,0,14.53333333,14.40972222
12/4/2013,0,14.675,13.67013889
12/5/2013,0.014,15.94347826,12.51041667
12/6/2013,0,17.36407039,13.73958333
12/7/2013,0.012,20.24583333,13.09953704
12/8/2013,0,21.8375,13.59953704
12/9/2013,0.429,19.84166667,14.70949074
12/10/2013,0,15.59583333,14.09953704
12/11/2013,0.014,15.6375,11.84027778
12/12/2013,0.095,16.5125,12.36921296
12/13/2013,0.392,17.57916667,13.1099537
12/14/2013,0.529,18.775,14.15046296
12/15/2013,1.39,18.80833333,20.37037037
12/16/2013,0.413,19.25,21.28935185
12/17/2013,6.4,15.59565217,56.51041667
