Date,WSLO
9/1/2005,5.457600233
10/1/2005,9.823205427
11/1/2005,36.879861
12/1/2005,78.92453213
1/1/2006,250.8872608
2/1/2006,135.9309768
3/1/2006,57.00820632
4/1/2006,40.30053607
5/1/2006,17.12164427
6/1/2006,11.5174054
7/1/2006,6.553979816
8/1/2006,5.624091112
9/1/2006,6.545911037
10/1/2006,7.094740241
11/1/2006,87.84074592
12/1/2006,129.800771
1/1/2007,101.8493031
2/1/2007,51.40316709
3/1/2007,73.01179187
4/1/2007,28.76991614
5/1/2007,14.27169068
6/1/2007,8.34875027
7/1/2007,7.052721695
8/1/2007,6.810658329
9/1/2007,7.540776247
10/1/2007,12.17441714
11/1/2007,17.23646452
12/1/2007,123.978462
1/1/2008,129.7459642
2/1/2008,92.03951585
3/1/2008,48.12037027
4/1/2008,43.13599631
5/1/2008,21.77291469
6/1/2008,11.12474513
7/1/2008,7.62362586
8/1/2008,7.141326021
9/1/2008,6.997092793
10/1/2008,8.278567118
11/1/2008,18.93075584
12/1/2008,23.77244944
1/1/2009,121.7871034
2/1/2009,24.10127719
3/1/2009,49.22822579
4/1/2009,31.29221093
5/1/2009,33.83313273
6/1/2009,8.411141722
7/1/2009,5.767337818
8/1/2009,5.994776903
9/1/2009,7.088886571
10/1/2009,8.770092768
11/1/2009,41.13980021
12/1/2009,48.26066655
1/1/2010,134.3569333
2/1/2010,67.94287538
3/1/2010,62.30665369
4/1/2010,83.94929384
5/1/2010,31.18170763
6/1/2010,44.78150714
7/1/2010,8.85903507
8/1/2010,7.27398588
9/1/2010,9.276306336
10/1/2010,13.08632922
11/1/2010,36.72392013
12/1/2010,137.8981742
1/1/2011,133.9814154
2/1/2011,55.17214949
3/1/2011,149.2305032
4/1/2011,79.35821743
5/1/2011,36.62958575
6/1/2011,17.67568713
7/1/2011,10.15170825
8/1/2011,7.43558373
9/1/2011,10.88287207
10/1/2011,8.83668303
11/1/2011,34.58336474
12/1/2011,27.69022218
1/1/2012,122.127819
2/1/2012,76.25043277
3/1/2012,138.6429347
4/1/2012,101.3743108
5/1/2012,32.08846787
6/1/2012,15.46571771
7/1/2012,8.340681491
8/1/2012,6.510134376
9/1/2012,6.758287387
10/1/2012,12.95906783
11/1/2012,70.104961
12/1/2012,162.0363038
1/1/2013,61.13698524
2/1/2013,31.09695414
3/1/2013,35.62260215
4/1/2013,26.01374307
5/1/2013,17.90720841
6/1/2013,14.39345312
7/1/2013,7.382475941
8/1/2013,6.064372404
9/1/2013,13.15128745
10/1/2013,20.06659632
11/1/2013,19.99924485
12/1/2013,20.48130111
