,1531000,1515000,1540500,1553500,1567000,1576000
1/1/1995,,,132879.7764,36981.35576,42324.66952,468243.0216
2/1/1995,,,7201.226592,3759.370496,805.2165184,7163.124864
3/1/1995,,,37965.6504,23623.07136,1926.405224,112772.043
4/1/1995,,,28440.2184,12696.04008,3143.39256,45041.6856
5/1/1995,,,10039.80533,8802.406352,7185.350872,16170.5548
6/1/1995,,,8749.78968,30889.6152,21228.1056,39190.3488
7/1/1995,,,1673.300888,2362.307136,8928.95852,22076.32264
8/1/1995,,,2882.57716,336.0663128,258.7288768,1827.97576
9/1/1995,,,850.485,244.93968,454.499184,850.485
10/1/1995,,,34028.47184,39793.62616,5455.804576,195452.7928
11/1/1995,,,21908.4936,11661.85032,2735.15976,101377.812
12/1/1995,,,15748.71424,6693.203552,939.2983136,31638.042
1/1/1996,,,1002574.398,681975.572,224981.632,3276295.016
2/1/1996,,,62219.21464,90237.59248,30912.2948,205205.0208
3/1/1996,,,71994.12224,97445.16936,30231.9068,302319.068
4/1/1996,,,383738.832,50756.9448,7824.462,351080.208
5/1/1996,,,201077.3336,278414.7696,17295.46296,697443.0592
6/1/1996,,,29120.6064,2735.15976,16873.6224,48443.6256
7/1/1996,,,15748.71424,9674.210176,19826.50632,43730.80472
8/1/1996,,,10180.41885,1743.607648,4232.466952,25451.04712
9/1/1996,,,6640.58688,35380.176,103963.2864,269433.648
10/1/1996,,,83524.43088,58213.99728,27982.09048,417622.1544
11/1/1996,,,172818.552,46266.384,6218.74632,326586.24
12/1/1996,,,185609.8464,52167.61592,71572.28168,1220525.354
1/1/1997,,,14623.80608,1462.380608,811.3400104,41902.82896
2/1/1997,,,42800.94112,76076.45024,3810.1728,81029.67488
3/1/1997,,,85071.1796,85774.2472,6426.037864,217950.956
4/1/1997,,,29528.8392,2912.06064,2258.88816,78380.6976
5/1/1997,,,7733.7436,10799.11834,16733.00888,74103.32504
6/1/1997,,,11090.3244,5347.84968,9443.78544,63684.3168
7/1/1997,,,2756.024992,825.4013624,1302.081195,5315.191056
8/1/1997,,,2179.50956,829.619768,1091.160915,10742.87293
9/1/1997,,,2163.63384,1578.50016,2231.67264,14015.9928
10/1/1997,,,1129.126566,1490.503312,323.411096,11502.18594
11/1/1997,,,7116.85848,38373.8832,65045.0928,201394.848
12/1/1997,,,12936.44384,11220.9589,4823.043736,44152.64528
1/1/1998,,,908363.3392,160299.4128,12528.66463,883052.9056
2/1/1998,,,105287.775,193048.7552,27814.26144,228610.368
3/1/1998,,,160299.4128,72978.41688,13892.61578,299506.7976
4/1/1998,,,101513.8896,55791.816,35380.176,345637.104
5/1/1998,,,116709.2216,57510.92968,31919.26904,352939.9352
6/1/1998,,,10995.07008,7974.14736,3306.68568,47491.0824
7/1/1998,,,61588.72176,3191.926904,3909.055856,73540.87096
8/1/1998,,,1518.626016,800.0909288,473.8675624,7902.479824
9/1/1998,,,1769.0088,464.024616,676.305672,3020.92272
10/1/1998,,,3009.129328,728.3780336,1341.452981,4007.48532
11/1/1998,,,1021.942776,295.288392,742.983696,4885.18584
12/1/1998,,,925.2369616,426.0589656,861.9608776,2404.491192
1/1/1999,,,236230.7136,122474.3759,46402.4616,757906.8728
2/1/1999,,,31243.41696,11074.90227,2616.318656,59057.6784
3/1/1999,,,63276.084,36700.12872,12823.95302,134145.2981
4/1/1999,,,51301.2552,25854.744,17145.7776,229971.144
5/1/1999,,,5919.829192,1743.607648,8071.216048,81977.68216
6/1/1999,,,2272.49592,747.066024,977.037168,22724.9592
7/1/1999,,,1504.564664,480.8982384,715.7228168,5146.454832
8/1/1999,,,544.1743224,435.901912,1518.626016,8591.486072
9/1/1999,,,34699.788,11716.28136,3252.25464,105868.3728
10/1/1999,,,8338.381736,2081.080096,2376.368488,42465.28304
11/1/1999,,,7035.21192,10913.42352,2490.22008,70352.1192
12/1/1999,,,24607.366,12641.15545,4837.105088,209514.1448
1/1/2000,,,22638.77672,4288.71236,1387.855442,53292.52408
2/1/2000,,,199943.3536,64586.96488,6708.62568,230197.94
3/1/2000,,,285445.4456,58917.06488,21373.25504,492147.32
4/1/2000,,,190508.64,60146.2992,14968.536,372852.624
5/1/2000,,,99554.37216,15467.4872,9308.615024,244667.5248
6/1/2000,,,91444.1472,17690.088,6232.35408,140159.928
7/1/2000,,,15045.64664,2362.307136,1250.054193,21513.86856
8/1/2000,,,9322.676376,1199.433326,1701.423592,34028.47184
9/1/2000,,,8559.28104,640.925496,653.17248,26807.2872
10/1/2000,,,6580.712736,1856.098464,1406.1352,20388.9604
11/1/2000,,,4857.97032,1088.6208,1387.99152,9185.238
12/1/2000,,,90976.94744,13330.1617,12472.41922,313568.1496
1/1/2001,,,3416.908536,433.0896416,1354.108198,72134.73576
2/1/2001,,,15113.68544,11367.01552,4978.625792,62105.81664
3/1/2001,,,69744.30592,108694.251,17576.69,279820.9048
4/1/2001,,,1125361.752,160571.568,68719.188,523898.76
5/1/2001,,,8844.590408,2966.945272,4007.48532,24326.13896
6/1/2001,,,45313.8408,4476.95304,4381.69872,90763.7592
7/1/2001,,,3965.301264,1280.989167,1303.48733,234824.5784
8/1/2001,,,1044.758454,722.7534928,1701.423592,7874.35712
9/1/2001,,,4123.15128,3197.8236,1094.063904,13743.8376
10/1/2001,,,724.159628,1268.33395,448.5571288,8239.952272
11/1/2001,,,2286.10368,1769.0088,190.50864,3157.00032
12/1/2001,,,17717.30352,19826.50632,791.6541176,41762.21544
1/1/2002,,,4274.651008,2348.245784,1018.041885,8732.099592
2/1/2002,,,32894.49184,8153.769792,400.068144,90174.0896
3/1/2002,,,140613.52,60323.20008,19545.27928,251698.2008
4/1/2002,,,31161.7704,10858.99248,6232.35408,110767.1664
5/1/2002,,,107850.5698,78462.34416,28122.704,354346.0704
6/1/2002,,,77292.0768,25446.5112,8164.656,140159.928
7/1/2002,,,8521.179312,919.6124208,870.3976888,18139.14408
8/1/2002,,,839.4627144,372.625828,659.4774088,3248.172312
9/1/2002,,,3034.53048,578.3298,1204.28676,7184.89728
10/1/2002,,,34872.15296,5230.822944,2685.718232,37403.19632
11/1/2002,,,36740.952,2544.65112,13253.95824,42456.2112
12/1/2002,,,17295.46296,10770.99563,21795.0956,277008.6344
